name,elo,last elo,rank
KuPS,1549.0,1550.0,1.0
HJK,1525.0,1524.0,2.0
Inter Turku,1357.0,1358.0,3.0
AC Oulu,1350.0,1339.0,4.0
FC Honka,1332.0,1322.0,5.0
FC Ilves,1313.0,1311.0,6.0
FC Lahti,1302.0,1302.0,7.0
FC Haka,1298.0,1298.0,8.0
SJK Seinäjoki,1297.0,1309.0,9.0
TPS,1278.0,1267.0,10.0
VPS,1263.0,1250.0,11.0
HIFK,1249.0,1260.0,12.0
IFK Mariehamn,1247.0,1260.0,13.0
Ekenäs IF,1247.0,1248.0,13.0
Mikkelin Palloilijat,1235.0,1250.0,15.0
SJK Seinäjoki Akatemia,1225.0,1211.0,16.0
FF Jaro,1216.0,1227.0,17.0
Gnistan,1212.0,1226.0,18.0
RoPS,1211.0,1221.0,19.0
KTP,1201.0,1199.0,20.0
PK-35,1193.0,1178.0,21.0
KPV,1173.0,1172.0,22.0
HJK Klubi 04,1162.0,1165.0,23.0
JJK Jyväskylä,1127.0,1127.0,24.0
AC Kajaani,1113.0,1094.0,25.0
JIPPO Joensuu,1110.0,1118.0,26.0
Musan Salama,1099.0,1107.0,27.0
TPV Tampere,1097.0,1106.0,28.0
PS Kemi Kings,1087.0,1096.0,29.0
MyPa,981.0,987.0,30.0
